会社ID,会社名,薬局ID,薬局名,商品ID,商品名,カテゴリID,カテゴリ名,表示ステータス(公開・非公開),ダミーフラグ,ダミーフラグ名,掲載終了日,商品ステータス,商品ステータス名,商品コード,販売価格,在庫数,在庫無制限フラグ,販売制限数,雇用形態,アピールポイント,条件,検索ワード(コメント3),一覧-メイン画像,詳細-メインコメント,詳細-メイン画像,地域,地域名,詳細-サブコメント(1),詳細-サブコメント(2),詳細-サブコメント(3),詳細-サブコメント(4),詳細-サブコメント(8),詳細-サブコメント(9),詳細-サブコメント(10),詳細-サブコメント(11)
12,株式会社木下フレンド,99,志木工場,,■志木駅から路線バス■産業廃棄物の仕分け業務■週1日〜OK,4,その他,1,1,本物,,"1,5,6","新着,派遣,未経験者大歓迎",40220017,950,2,0,1,347,26789a,12,"志木,路線バス,廃棄物,仕分,スポット",99_1.jpg,【仕事内容】<br>産業廃棄物の仕分け業務。<br>産業廃棄物の中からガラス、金属などを分別し資源のリサイクルを行う仕事です。<br>廃棄物の荷受や仕分け分別作業など幅広く携わって頂きます。<br>地球環境の保護と資源のリサイクルに貢献できるやりがい溢れるお仕事です。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>志木駅から路線バス<br><br>【その他おすすめポイントなど】<br>週1日〜のスポット案件。<br><br>【持ち物・服装】<br>ゴム手袋、汚れてもOKな服装、カッパ、着替え,99_2.jpg,2,所沢,志木市坂之下,志木駅から路線バス,,9:00〜17:00,産業廃棄物の仕分け業務,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
21,ファンシーフーズ株式会社,83,戸田工場,,■戸田公園駅より路線バス■ケーキや焼き菓子などのお菓子製造補助■週5日のレギュラー勤務もOK,2,製造・工場,1,1,本物,,"2,3,5,6","急募,オススメ,派遣未経験者大歓迎,特になし",40220018,850,3,0,1,347,1269,12,"戸田公園,ケーキ,焼き菓子,レギュラー,スポット,製造補助",,【仕事内容】<br>マフィンやロールケーキなどの焼き菓子やプリン、ゼリーなどスイーツを作るお仕事。<br>ライン作業や仕込、出来あがった商品の出荷準備などをお任せします。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>繁忙期は残業対応などもあり、しっかりと稼げるお仕事です。<br><br>【その他おすすめポイントなど】<br>ハイペリオンのスタッフが多数活躍中の現場です。<br>年齢層も幅広く、20代〜60代までの男女が力を合わせて働いています。<br><br>【持ち物・服装】<br>スリッパ、長めの靴下、Tシャツ、昼食,,4,その他 埼玉,戸田市氷川町,戸田公園駅から路線バス,"月,火,水,木,金",8:30〜17:30,ケーキや焼き菓子などのお菓子製造補助,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
13,株式会社銀座コージーコーナー,84,埼玉物流グループ,,■北戸田駅から徒歩■お菓子の箱詰め■週5日のレギュラー勤務,2,製造・工場,1,1,本物,,"3,5,6","オススメ,派遣未経験者大歓迎,特になし",40220019,950,1,0,1,37,2578,2,"北戸田,お菓子,箱詰め,週5日,レギュラー",,【仕事内容】<br>お菓子の箱詰めなどライン作業。<br>幾つかの商品をピックアップし流れて来る箱へ詰めて頂きます。手先の器用さや正確性、丁寧な心配りなどを活かせるお仕事です。<br>仕事の流れを覚えて来たら、ラインへの商品の供給や検品など、他の業務も行って頂きます。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>北戸田駅から徒歩15分<br><br>【その他おすすめポイントなど】<br>派遣先と相談の上、週2回の公休日をベースにシフトを組み、長期的にレギュラーとしてご勤務頂けます。<br><br>【持ち物・服装】<br>制服貸与、長めの靴下、Tシャツ、昼食,,4,その他 埼玉,戸田市美女木,北戸田駅から徒歩15分,"月,火,水,木,金,土,日",8:30〜17:00,,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
13,株式会社銀座コージーコーナー,84,埼玉物流グループ,,■北戸田駅から徒歩■お菓子の箱詰め■週1日からのスポット勤務,2,製造・工場,1,1,本物,,"3,5,6","オススメ,派遣未経験者大歓迎,特になし",40220020,850,1,0,1,34,2678,2,"北戸田,お菓子,箱詰め,週1日,スポット",,【仕事内容】<br>お菓子の箱詰めなどライン作業。<br>幾つかの商品をピックアップし流れて来る箱へ詰めて頂きます。手先の器用さや正確性、丁寧な心配りなどを活かせるお仕事です。<br>仕事の流れを覚えて来たら、ラインへの商品の供給や検品など、他の業務も行って頂きます。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>北戸田駅から徒歩15分<br><br>【その他おすすめポイントなど】<br>週1日〜のスポットとしてご勤務頂けます。<br><br>【持ち物・服装】<br>制服貸与、長めの靴下、Tシャツ、昼食,,4,その他 埼玉,戸田市美女木,北戸田駅から徒歩15分,"月,火,水,木,金,土,日",8:30〜17:00,,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
13,株式会社銀座コージーコーナー,84,埼玉物流グループ,,■北戸田駅から徒歩■お菓子の入荷・出荷■週5日のレギュラー勤務,2,製造・工場,1,1,本物,,"3,5,6","オススメ,派遣未経験者大歓迎,特になし",40220021,950,1,0,1,37,2578,2,,,【仕事内容】<br>お菓子の入・出荷のお仕事。<br>工場から入荷してきた商品をトラックから荷降ろしして、該当部署のフロアまで搬入します。商品が積まれたパレットは台車が付いているので、負担なく搬入していただけます。<br>また、出荷準備が出来た商品を指示書に基づいて仕分けし、出荷をします。<br>ハンドリフトを使って作業をするので、重たいものを持ち運ぶ必要はありません。<br><br>【特徴】<br>北戸田駅から徒歩15分<br><br>【その他おすすめポイントなど】<br>派遣先と相談の上、週2回の公休日をベースにシフトを組み、長期的にレギュラーとしてご勤務頂けます。<br><br>【持ち物・服装】<br>制服貸与、長めの靴下、Tシャツ、昼食,,4,その他 埼玉,戸田市美女木,北戸田駅から徒歩15分,"月,火,水,木,金,土,日",8:30〜17:00,,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
13,株式会社銀座コージーコーナー,84,埼玉物流グループ,,■北戸田駅から徒歩■お菓子の入荷・出荷■週1日からのスポット勤務,2,製造・工場,1,1,本物,,"3,5,6","オススメ,派遣未経験者大歓迎,特になし",40220022,850,1,0,1,34,2678,2,,,【仕事内容】<br>お菓子の入・出荷のお仕事。<br>工場から入荷してきた商品をトラックから荷降ろしして、該当部署のフロアまで搬入します。商品が積まれたパレットは台車が付いているので、負担なく搬入していただけます。<br>また、出荷準備が出来た商品を指示書に基づいて仕分けし、出荷をします。<br>ハンドリフトを使って作業をするので、重たいものを持ち運ぶ必要はありません。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>北戸田駅から徒歩15分<br><br>【その他おすすめポイントなど】<br>週1日〜のスポットとしてご勤務頂けます。<br><br>【持ち物・服装】<br>制服貸与、長めの靴下、Tシャツ、昼食,,4,その他 埼玉,戸田市美女木,北戸田駅から徒歩15分,"月,火,水,木,金,土,日",8:30〜17:00,,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
16,有限会社JF原料,85,本社,,■志木駅より路線バス■ペットボトルの洗浄や仕分け■週1日〜のスポット勤務OK,4,その他,1,1,本物,,"5,6","派遣未経験者大歓迎,特になし",40220023,950,1,0,1,34,126789a,12,"志木,ペットボトル,洗浄,仕分,スポット",,【仕事内容】<br>ペットボトルのリサイクルを行う会社のお仕事。<br>使用済みのペットボトルの洗浄や仕分け、積み込みなどの仕事をお任せいたします。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>自転車、バイク通勤もOK<br><br>【その他おすすめポイントなど】<br>スポット、高時給のお仕事です！<br><br>【持ち物・服装】<br>ゴム手袋、汚れてもOKな服装、着替え,,2,所沢,所沢市坂之下,志木駅から路線バス,"月,火,木,金",10:00〜19：00,ペットボトルの洗浄や仕分け,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
22,吉川自動車運送株式会社,86,本社,,■埼玉・東京他関東各地■資材の配送助手■週1日〜の午前中で終わるスポット勤務,3,運送,1,1,本物,,"5,6","派遣未経験者大歓迎,特になし",40220024,950,2,0,1,34,1236789ab,124,"埼玉,東京,関東,資材,配送,助手,午前,スポット",86_1.jpg,【仕事内容】<br>資材の配送助手。<br>埼玉県内や都内各地の駅でドライバーと合流し、幾つかの現場を回りながら資材をお届けする仕事です。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>交通費は全額支給！<br><br>【その他おすすめポイントなど】<br>午前中で終わる仕事なので、Wワークにもピッタリ！<br>空いた時間を有効に使いたい方にオススメの仕事です。<br><br>【持ち物・服装】<br>作業しやすい服装、ラバー付き軍手、カッター,86_2.jpg,5,その他 関東,朝霞市、港区、新宿区、文京区、墨田区、江東区、品川区、目黒区、世田谷区、渋谷区、中野区、杉並区、北区、荒川区、板橋区、練馬区、葛飾区、江戸川区、立川市、武蔵野市、三鷹市、府中市、調布市、町田市、小金井市、日野市、国立市、狛江市、東大和市、武蔵村山市、稲城市,駅スグ,"月,火,水,木,金",9:00〜12:00,資材の配送助手,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
14,プラスロジスティクス株式会社,87,JTX,,■鶴瀬駅より路線バス■文房具の仕分け・ピッキング■週5日のレギュラー勤務,1,物流・倉庫,1,1,本物,,"2,3,5","急募,オススメ,派遣未経験者大歓迎",40220025,850,3,0,1,37,1789,2,"鶴瀬,文房具,仕分け,ピッキング,レギュラー",,【仕事内容】<br>文房具などを中心としたオフィス用品・日用品の仕分け・ピッキング。その他、食品など幅広いアイテムを取り扱います。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>自転車・バイク通勤もOKです！<br><br>【その他おすすめポイントなど】<br>午後からの出勤なので、朝がニガテな方にもおすすめのお仕事です。仕事量に応じて11時出勤や土曜出勤などもあるので、しっかりと稼げます。<br><br>【持ち物・服装】<br>作業しやすい服装、ラバー付き軍手、カッター,,4,その他 埼玉,入間郡三芳町,鶴瀬駅より路線バス,"月,火,水,木,金",12:00〜21:00,文房具の仕分け・ピッキング,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
14,プラスロジスティクス株式会社,87,JTX,,■航空公園駅より路線バス■文房具の仕分け・ピッキング■週5日のレギュラー勤務,1,物流・倉庫,1,1,本物,,"2,3,5","急募,オススメ,派遣未経験者大歓迎",40220026,850,3,0,1,37,1789,2,"航空公園,文房具,仕分け,ピッキング,レギュラー",,【仕事内容】<br>文房具などを中心としたオフィス用品・日用品の仕分け・ピッキング。その他、食品など幅広いアイテムを取り扱います。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>自転車・バイク通勤もOKです！<br><br>【その他おすすめポイントなど】<br>午後からの出勤なので、朝がニガテな方にもおすすめのお仕事です。仕事量に応じて11時出勤や土曜出勤などもあるので、しっかりと稼げます。<br><br>【持ち物・服装】<br>作業しやすい服装、ラバー付き軍手、カッター,,4,その他 埼玉,入間郡三芳町,航空公園駅より路線バス,"月,火,水,木,金",12:00〜21:00,文房具の仕分け・ピッキング,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
14,プラスロジスティクス株式会社,87,JTX,,■東所沢駅より路線バス■文房具の仕分け・ピッキング■週5日のレギュラー勤務,1,物流・倉庫,1,1,本物,,"2,3,5","急募,オススメ,派遣未経験者大歓迎",40220027,850,3,0,1,37,1789,2,"東所沢,文房具,仕分け,ピッキング,レギュラー",,【仕事内容】<br>文房具などを中心としたオフィス用品・日用品の仕分け・ピッキング。その他、食品など幅広いアイテムを取り扱います。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>自転車・バイク通勤もOKです！<br><br>【その他おすすめポイントなど】<br>午後からの出勤なので、朝がニガテな方にもおすすめのお仕事です。仕事量に応じて11時出勤や土曜出勤などもあるので、しっかりと稼げます。<br><br>【持ち物・服装】<br>作業しやすい服装、ラバー付き軍手、カッター,,4,その他 埼玉,入間郡三芳町,東所沢駅より路線バス,"月,火,水,木,金",12:00〜21:00,文房具の仕分け・ピッキング,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
15,コスモフーズ株式会社,88,川島工場,,■川越駅より路線バス■ケーキや大福などのお菓子製造補助■週5日のレギュラー勤務もOK,2,製造・工場,1,1,本物,,"4,5,6","もうすぐ掲載終了,派遣未経験者大歓迎,特になし",40220028,850,5,0,1,37,578,2,"川越,お菓子,ケーキ,大福,レギュラー,製造補助",,【仕事内容】<br>コンビニで販売されているケーキや大福などのお菓子を製造するお仕事。<br>ライン作業で商品に具材のトッピングをして頂く他、パック詰めやラベル貼りなどをお任せします。<br>仕事に慣れてきたら、生地作りなど幅広い業務に携わることが出来ます。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>自転車・バイクの他、車通勤もOKです！<br><br>【その他おすすめポイントなど】<br>新興工業団地にある新しくてキレイな工場です。衛生管理や清掃が行き届いていて、清潔で気持ちの良い環境です。<br><br>【持ち物・服装】<br>長めの靴下、昼食,,4,その他 埼玉,比企郡川島町,"川越駅,本川越駅,東松山駅から路線バス","月,火,水,木,金,土,日",8:00〜17:00,ケーキや大福などのお菓子製造補助,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
15,コスモフーズ株式会社,88,川島工場,,■東松山駅より路線バス■ケーキや大福などのお菓子製造補助■週5日のレギュラー勤務もOK,2,製造・工場,1,1,本物,,"4,5,6","もうすぐ掲載終了,派遣未経験者大歓迎,特になし",40220029,850,5,0,1,37,578,2,"東松山,お菓子,ケーキ,大福,レギュラー,製造補助",,【仕事内容】<br>コンビニで販売されているケーキや大福などのお菓子を製造するお仕事。<br>ライン作業で商品に具材のトッピングをして頂く他、パック詰めやラベル貼りなどをお任せします。<br>仕事に慣れてきたら、生地作りなど幅広い業務に携わることが出来ます。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>自転車・バイクの他、車通勤もOKです！<br><br>【その他おすすめポイントなど】<br>新興工業団地にある新しくてキレイな工場です。衛生管理や清掃が行き届いていて、清潔で気持ちの良い環境です。<br><br>【持ち物・服装】<br>長めの靴下、昼食,,4,その他 埼玉,比企郡川島町,東松山駅から路線バス,"月,火,水,木,金,土,日",8:00〜17:00,ケーキや大福などのお菓子製造補助,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
15,コスモフーズ株式会社,88,川島工場,,■本川越駅より路線バス■ケーキや大福などのお菓子製造補助■週5日のレギュラー勤務もOK,2,製造・工場,1,1,本物,,"4,5,6","もうすぐ掲載終了,派遣未経験者大歓迎,特になし",40220030,850,5,0,1,37,578,2,"本川越,お菓子,ケーキ,大福,レギュラー,製造補助",,【仕事内容】<br>コンビニで販売されているケーキや大福などのお菓子を製造するお仕事。<br>ライン作業で商品に具材のトッピングをして頂く他、パック詰めやラベル貼りなどをお任せします。<br>仕事に慣れてきたら、生地作りなど幅広い業務に携わることが出来ます。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>自転車・バイクの他、車通勤もOKです！<br><br>【その他おすすめポイントなど】<br>新興工業団地にある新しくてキレイな工場です。衛生管理や清掃が行き届いていて、清潔で気持ちの良い環境です。<br><br>【持ち物・服装】<br>長めの靴下、昼食,,4,その他 埼玉,比企郡川島町,本川越駅から路線バス,"月,火,水,木,金,土,日",8:00〜17:00,ケーキや大福などのお菓子製造補助,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
14,プラスロジスティクス株式会社,89,入曽通販素材センター,,■入曽駅より徒歩■荷降ろし・仕分け■男性活躍中で、週1〜2日からOKのスポット案件です,1,物流・倉庫,1,1,本物,,"3,5,6","オススメ,派遣未経験者大歓迎,特になし",40220031,850,5,0,1,34,126789,12,"入曽,ベッド,マットレス,荷降ろし,仕分け,男性活躍,スポット",14_1.jpg,【仕事内容】<br>ベッドやマットレスなど大型商品を扱う通販の入荷・出荷を行う物流倉庫でのお仕事。<br>主にコンテナ降ろしや仕分け、検品など入荷に関わる業務をお任せします。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>入曽駅から徒歩15分<br>自転車・バイク通勤もOKです。<br><br>【その他おすすめポイントなど】<br>男性が多数活躍中で、荷降ろしがあるため力自慢の方におすすめです。<br>ハイペリオンのスタッフが運営・管理する現場です。<br>あなたのお仕事ぶりや仕事量に応じて、週5日のレギュラー勤務をお任せすることもあります。<br><br>【持ち物・服装】<br>ジーパンやジャージ以外の作業しやすい服装<br>ラバー付き軍手、カッター、ボールペン、昼食,14_2.jpg,4,その他埼玉,狭山市南入曽,入曽駅から徒歩15分,"月,火,水,木,金,土",8:30〜17:30,ベッドなどの荷降ろし、仕分け、ピッキング,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
14,プラスロジスティクス株式会社,89,入曽通販素材センター,,■入曽駅より徒歩■荷降ろし・仕分け・ピッキング■男性活躍中で、週5日のレギュラー案件です。,1,物流・倉庫,1,1,本物,,"3,5,6","オススメ,派遣未経験者大歓迎,特になし",40220032,900,1,0,1,37,12789,2,"入曽,ベッド,マットレス,荷降ろし,仕分け,ピッキング,男性活躍,レギュラー",14_1.jpg,【仕事内容】<br>ベッドやマットレスなど大型商品を扱う通販の入荷・出荷を行う物流倉庫でのお仕事。<br>主にコンテナ降ろしや仕分け、検品など入荷に関わる業務をお任せします。アイテムの名前や種類などを覚えていただけましたら、ピッキングなどの出荷業務もお任せします。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>入曽駅から徒歩15分<br>自転車・バイク通勤もOKです。<br><br>【その他おすすめポイントなど】<br>男性が多数活躍中で、荷降ろしがあるため力自慢の方におすすめです。<br>ハイペリオンのスタッフが運営・管理する現場です。<br><br>【持ち物・服装】<br>ジーパンやジャージ以外の作業しやすい服装<br>ラバー付き軍手、カッター、ボールペン、昼食,14_2.jpg,4,その他埼玉,狭山市南入曽,入曽駅から徒歩15分,"月,火,水,木,金,土",8:30〜17:30,ベッドなどの荷降ろし、仕分け、ピッキング,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
14,プラスロジスティクス株式会社,90,搬入,,■埼玉・東京他関東各地■オフィス什器の搬入■週1日〜のスポット勤務,6,運送,1,1,本物,,"5,6","派遣未経験者大歓迎,特になし",40220033,950,5,0,1,34,126789,12,"埼玉,東京,関東,什器,搬入,スポット",14_1.jpg,【仕事内容】<br>オフィス什器の搬入。<br>ロッカーやオフィスチェア、デスクなどの搬入や事務所のレイアウト変更を行う仕事です。<br>ダンボールを開梱して什器を取り出したり、什器を台車に乗せて運んでいただくなどの役割をお任せします。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>埼玉をはじめ都内や関東各地で仕事をします。原則、車移動なのでラクラク移動できます。<br><br>【その他おすすめポイントなど】<br>定時前に仕事が終了しても予定時間分のお給料は保証します！<br><br>【持ち物・服装】<br>ラバー付き軍手、ジーパンやジャージ以外の作業しやすい服装,14_2.jpg,5,その他関東,朝霞市、港区、新宿区、文京区、墨田区、江東区、品川区、目黒区、世田谷区、渋谷区、中野区、杉並区、北区、荒川区、板橋区、練馬区、葛飾区、江戸川区、立川市、武蔵野市、三鷹市、府中市、調布市、町田市、小金井市、日野市、国立市、狛江市、東大和市、武蔵村山市、稲城市,朝霞台駅から徒歩7分,"月,火,水,木,金,土,日",9:00〜17:00,オフィス什器の搬入,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
16,有限会社JF原料,85,本社,,■所沢駅より路線バス■ペットボトルの洗浄や仕分け■週1日〜のスポット勤務OK,8,その他,1,1,本物,,"5,6","派遣未経験者大歓迎,特になし",40220034,950,1,0,1,34,126789a,12,"所沢,ペットボトル,洗浄,仕分,スポット",,【仕事内容】<br>ペットボトルのリサイクルを行う会社のお仕事。<br>使用済みのペットボトルの洗浄や仕分け、積み込みなどの仕事をお任せいたします。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>自転車、バイク通勤もOK<br><br>【その他おすすめポイントなど】<br>スポット、高時給のお仕事です！<br><br>【持ち物・服装】<br>ゴム手袋、汚れてもOKな服装、着替え,,2,所沢,所沢市坂之下,所沢駅から路線バス,"月,火,木,金",10:00〜19：00,ペットボトルの洗浄や仕分け,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
17,株式会社武蔵野,91,埼玉麺工場,,■川越駅から送迎■コンビニのお弁当を詰める容器の仕分けや管理をするお仕事■週5日のレギュラー勤務,2,製造・工場,1,1,本物,,"4,5,6","もうすぐ掲載終了,派遣未経験者大歓迎,特になし",40220035,850,1,0,1,34,26789,2,"川越,送迎,弁当,容器,仕分,スポット",,【仕事内容】<br>コンビニのお弁当を製造する工場のお仕事。<br>商品を詰めるプラスチックケースの荷受や検品、管理、該当部署への受け渡しなどを行って頂きます。<br><br>【資格】<br>未経験OK<br><br>【特徴】<br>駅から送迎もあるので通勤ラクラク。<br><br>【その他おすすめポイントなど】<br>週1日〜のスポット案件。<br><br>【持ち物・服装】<br>制服貸与、長めの靴下、Tシャツ、白い靴、食事,,1,川越,川越市芳野台,川越駅から送迎,"月,火,水,木,金,土,日",9:00〜17:00,コンビニのお弁当を詰める容器の仕分けや管理,「応募手続きへ」ボタンよりご応募ください。,担当から、メールもしくは電話にて登録説明会日程のご案内をいたします。,"小俣,川名"
